id,age,fare,pclass,sex,embarked,target
140,31,87.12,3,0,C,1
141,23,8.73,1,1,Q,0
142,65,18.6,1,0,Q,0
143,35,42.37,3,1,S,0
144,2,17.29,3,1,S,1
145,25,29.83,1,0,C,0
146,29,145.83,1,1,S,0
147,33,5.02,3,1,Q,0
148,20,19.17,2,0,C,0
149,44,27.44,3,0,S,0
150,39,81.66,3,1,S,0
151,20,10.64,3,1,S,0
152,22,43.17,2,1,C,0
153,36,118.55,1,1,S,0
154,24,19.22,2,1,Q,0
155,42,31.67,1,1,S,1
156,48,3.17,2,0,Q,0
157,32,0.46,1,1,Q,0
158,58,9.24,3,1,Q,1
159,47,11.95,3,1,C,0
160,48,23.36,3,0,S,0
161,24,76.12,1,0,C,0
162,37,3.18,1,1,S,1
163,12,47.71,2,1,C,0
164,36,34.35,1,0,S,1
165,50,61.4,3,0,C,0
166,45,8.79,2,0,C,0
167,48,33.96,1,0,C,0
168,48,98.13,3,1,C,0
169,34,6.66,2,1,S,0
170,17,147.56,2,0,Q,0
171,26,0.24,3,0,Q,0
172,51,44.85,1,1,S,0
173,7,29.1,3,0,Q,1
174,32,46.62,1,1,Q,1
175,32,72.11,2,1,S,1
176,42,13.66,3,1,S,0
177,5,52.24,2,1,Q,0
178,41,2.35,1,1,Q,0
179,19,46.92,1,1,Q,1
180,18,9.12,2,1,S,0
181,53,19.13,3,1,Q,0
182,61,72.03,2,1,S,1
183,46,87.71,2,1,S,1
184,41,18.13,3,1,Q,0
185,30,5.04,2,0,C,0
186,46,35.16,1,1,C,0
187,30,58.02,1,1,Q,0
188,32,9.68,1,1,S,0
189,31,30.79,3,0,S,0
190,35,24.94,1,0,Q,0
191,43,61.14,2,0,Q,1
192,40,4.18,2,0,S,0
193,28,0.78,1,1,S,0
194,47,4.07,2,0,Q,1
195,36,17.84,2,0,C,0
196,39,45.87,3,1,C,0
197,33,0.95,2,1,C,0
198,2,2.29,1,1,Q,1
199,37,4.05,3,1,C,0
200,19,27.9,1,0,Q,0
201,32,43.96,3,0,C,0
202,37,18.13,2,0,C,0
203,49,32.82,2,0,Q,0
204,61,2.94,1,1,S,0
205,47,26.49,3,1,Q,1
206,22,41.62,3,0,C,0
207,53,13.0,3,0,S,0
208,36,56.0,2,0,C,0
209,42,49.39,3,0,Q,0
210,41,5.97,3,1,C,0
211,25,6.0,1,1,S,1
212,32,41.13,1,1,C,0
213,32,5.14,2,1,Q,0
214,41,42.13,1,0,C,0
215,29,16.55,3,1,C,0
216,35,16.86,2,1,Q,0
217,28,1.39,2,0,S,0
218,59,43.34,2,1,S,1
219,26,41.23,1,0,C,0
220,37,33.08,2,0,C,0
221,54,1.3,1,1,S,0
222,18,37.08,2,1,S,0
223,26,101.62,1,1,Q,0
224,60,8.36,3,1,Q,1
225,50,61.33,3,1,S,0
226,44,3.63,3,0,C,0
227,51,95.26,3,0,S,1
228,35,4.98,3,0,S,0
229,44,29.66,2,1,Q,0
230,15,29.39,3,1,S,0
231,27,18.99,3,1,C,0
232,31,18.58,1,0,C,0
233,40,2.4,1,1,C,0
234,59,1.26,3,0,C,0
235,28,20.88,1,1,S,0
236,57,2.64,3,0,S,0
237,1,17.27,2,0,C,0
238,32,12.39,3,0,Q,0
239,50,2.05,1,1,C,0
240,58,27.69,1,1,S,0
241,4,4.57,2,1,Q,0
242,19,83.42,2,1,Q,0
243,48,50.33,3,0,Q,0
244,32,11.08,1,1,C,1
245,35,319.91,1,0,C,0
246,56,54.08,3,0,Q,0
247,50,43.61,1,1,S,1
248,48,49.67,1,1,S,0
249,13,33.84,1,1,Q,1
250,35,22.91,2,1,S,0
251,19,88.2,2,1,C,0
252,19,5.3,1,0,C,1
253,35,19.65,2,0,Q,0
254,42,43.21,2,1,Q,1
255,25,17.26,1,1,C,0
256,22,14.05,2,0,C,0
257,43,11.51,1,1,S,1
258,29,35.73,1,1,C,0
259,62,70.89,1,1,S,0
260,12,22.51,1,1,S,1
261,28,1.47,2,1,S,1
262,52,0.5,3,0,Q,0
263,24,16.82,3,1,S,0
264,44,22.24,2,0,Q,0
265,56,46.31,3,0,C,0
266,49,14.02,3,0,C,0
267,39,12.68,3,0,Q,0
268,33,23.69,3,0,Q,0
269,39,35.66,3,0,S,1
270,38,10.42,1,0,S,0
271,19,11.14,2,1,C,1
272,28,59.45,1,1,C,1
273,25,13.77,2,1,C,0
274,44,13.73,3,1,S,0
275,56,2.47,3,0,Q,0
276,46,10.51,2,1,S,0
277,43,12.99,1,1,Q,0
278,29,88.64,1,1,C,0
279,76,41.58,1,0,S,0
280,28,4.05,1,1,C,0
281,21,25.13,3,0,Q,0
282,24,2.4,1,1,C,0
283,47,9.8,1,0,Q,0
284,2,3.76,2,1,S,0
285,31,10.09,2,0,S,0
286,43,37.49,1,1,Q,0
287,39,2.01,3,1,C,0
288,27,30.46,2,0,S,0
289,2,47.12,1,1,S,1
290,20,122.26,1,0,S,1
291,28,234.35,3,1,Q,1
292,18,4.02,2,0,C,0
293,46,21.85,1,0,S,0
294,39,3.98,1,1,S,1
295,32,81.88,1,1,Q,0
296,41,30.24,3,1,S,0
297,26,28.59,1,0,Q,0
298,47,38.26,3,1,Q,1
299,53,59.8,1,0,Q,0
300,34,25.47,3,0,C,0
301,45,23.66,3,1,C,0
302,40,18.13,3,0,S,0
303,21,19.86,1,1,Q,1
304,43,132.74,2,1,S,0
305,25,21.71,1,1,S,0
306,34,3.05,2,1,Q,0
307,46,98.65,1,1,Q,0
308,38,165.42,2,1,C,0
309,43,2.83,2,1,S,0
310,32,20.49,3,1,C,0
311,39,56.35,2,0,C,0
312,36,15.35,3,0,C,0
313,21,2.29,3,1,Q,0
314,58,3.79,1,1,C,0
315,33,12.42,2,0,S,0
316,31,1.19,3,1,C,0
317,37,4.84,3,0,C,0
318,29,28.75,2,1,Q,0
319,49,22.8,3,1,C,0
320,20,117.21,3,1,Q,0
321,52,29.77,3,1,C,0
322,40,25.86,3,0,Q,0
323,10,22.28,3,1,S,0
324,36,36.17,1,0,C,0
325,55,4.93,3,0,C,0
326,22,56.59,3,0,Q,0
327,24,6.97,2,1,Q,0
328,51,22.85,3,1,Q,0
329,31,38.29,3,1,Q,0
330,47,10.64,2,1,Q,0
331,32,36.62,2,1,C,0
332,57,10.18,3,1,C,0
333,25,92.77,1,1,S,1
334,32,17.52,2,1,S,0
335,22,23.2,3,1,S,1
336,34,1.56,3,0,Q,0
337,24,3.17,2,1,S,0
338,60,114.38,1,1,Q,0
339,64,63.21,2,0,C,0
340,15,2.81,3,0,Q,0
341,9,56.98,1,0,C,0
342,50,176.04,2,1,S,0
343,65,98.21,2,0,S,0
344,7,12.24,2,1,S,0
345,14,18.93,1,0,C,1
346,24,6.18,3,1,C,0
347,38,42.48,1,1,C,0
348,54,6.13,1,1,C,0
349,47,0.21,2,0,C,0
350,47,38.5,1,1,Q,0
351,31,8.09,3,0,C,0
352,20,67.65,3,1,Q,1
353,45,74.35,2,1,Q,1
354,51,18.21,3,1,C,0
355,30,73.19,3,0,S,0
356,13,22.37,3,1,S,0
357,20,3.57,3,0,Q,0
358,50,17.49,3,0,Q,0
359,60,2.86,3,1,S,0
360,18,1.78,2,1,Q,1
361,34,8.81,1,0,Q,1
362,14,23.37,1,0,C,1
363,46,15.77,1,1,C,0
364,13,71.18,2,0,Q,0
365,55,62.28,1,1,S,1
366,17,39.04,1,0,S,0
367,31,18.65,3,1,Q,0
368,37,5.06,1,0,S,0
369,52,16.3,1,0,S,1
370,21,33.44,1,0,Q,1
371,26,17.34,3,0,S,0
372,46,74.45,3,1,Q,0
373,35,33.49,2,0,C,0
374,53,16.01,2,0,Q,0
375,33,63.54,1,1,Q,0
376,70,33.38,3,1,Q,0
377,29,4.85,2,0,Q,0
378,42,36.89,2,0,Q,0
379,25,16.16,3,0,C,0
380,41,76.62,2,0,Q,0
381,56,6.34,2,1,Q,0
382,41,48.99,3,0,C,0
383,36,71.27,2,0,S,0
384,42,232.69,2,0,Q,0
385,33,6.86,1,1,C,0
386,21,9.1,3,1,C,1
387,32,119.41,2,1,S,1
388,18,7.5,1,0,C,0
389,45,26.31,3,1,C,0
390,28,53.76,2,1,C,0
391,48,20.12,3,1,C,0
392,38,38.22,2,0,Q,0
393,26,94.56,3,0,S,0
394,22,15.95,3,0,S,0
395,13,0.28,3,1,C,1
396,12,73.17,3,1,S,1
397,8,24.07,1,0,Q,0
398,23,20.93,3,1,S,1
399,32,3.04,1,0,S,0
400,35,47.53,1,1,C,0
401,49,8.36,3,0,C,0
402,48,58.6,1,0,C,0
403,17,24.14,1,0,Q,1
404,19,46.03,3,0,Q,0
405,35,7.83,3,1,C,1
406,66,68.87,3,0,S,0
407,50,11.33,1,0,Q,0
408,46,24.9,3,1,Q,0
409,30,12.09,3,0,Q,0
410,1,1.66,2,0,S,0
411,35,43.96,3,1,C,1
412,28,20.24,2,1,C,1
413,80,26.45,2,0,Q,0
414,35,9.36,2,0,Q,0
415,41,13.42,1,0,C,0
416,35,2.74,2,1,Q,0
417,28,15.73,1,0,C,0
418,13,59.79,1,1,C,1
419,20,2.66,3,0,Q,0
420,31,9.4,2,1,S,1
421,27,17.11,2,1,C,0
422,12,38.29,2,0,C,1
423,63,10.9,2,1,Q,0
424,45,16.9,3,0,C,0
425,23,88.28,1,1,C,1
426,24,39.83,3,1,Q,0
427,43,11.83,2,1,C,1
428,17,23.67,3,0,Q,0
429,27,36.97,2,1,Q,1
430,50,33.53,1,1,S,1
431,13,5.02,2,1,S,0
432,19,22.93,3,1,Q,1
433,24,103.66,3,0,S,0
434,27,31.24,1,1,C,0
435,23,16.89,1,0,C,0
436,35,34.91,1,1,C,0
437,16,44.4,3,0,C,0
438,23,75.98,1,0,Q,1
439,36,11.21,2,0,Q,0
440,19,35.8,2,0,C,1
441,37,37.22,1,1,Q,1
442,46,40.47,3,0,Q,0
443,2,24.62,2,0,C,0
444,44,15.1,3,0,C,0
445,55,14.77,3,0,S,0
446,27,25.84,3,0,C,0
447,9,18.35,2,1,Q,0
448,29,14.95,1,1,C,0
449,49,28.82,3,1,Q,0
450,29,8.18,1,0,C,0
451,24,21.45,2,0,Q,0
452,43,35.47,3,0,Q,0
453,55,10.23,1,1,C,0
454,60,19.88,1,1,Q,0
455,7,20.49,3,1,C,0
456,26,25.0,1,1,S,1
457,38,23.14,1,1,Q,0
458,37,3.6,1,1,Q,0
459,16,13.71,1,1,Q,1
460,13,31.81,1,1,S,0
461,46,12.86,1,1,S,0
462,37,26.6,2,1,S,0
463,62,46.09,1,0,Q,0
464,31,11.73,3,1,C,0
465,53,91.35,3,0,S,0
466,42,146.73,3,0,Q,0
467,2,8.62,3,1,S,0
468,27,25.84,2,1,C,0
469,19,30.12,1,1,Q,0
470,25,18.19,2,1,Q,1
471,6,44.63,3,0,Q,0
472,20,56.93,3,1,S,0
473,18,52.26,2,1,C,0
474,25,25.05,2,1,Q,0
475,52,1.41,3,1,S,0
476,45,0.02,2,0,Q,0
477,22,64.15,2,0,C,1
478,31,32.76,3,0,S,0
479,40,10.94,3,0,C,0
480,35,19.43,1,0,Q,0
481,34,0.28,3,1,S,0
482,28,2.2,2,0,Q,0
483,39,3.27,2,1,S,0
484,47,30.78,3,0,S,0
485,7,0.26,3,0,C,0
486,41,75.73,3,1,S,1
487,59,3.18,1,1,C,0
488,32,9.73,1,0,Q,0
489,43,38.32,2,0,Q,0
490,41,6.27,2,1,Q,1
491,55,68.46,1,1,C,1
492,15,22.54,1,1,C,1
493,35,59.16,3,1,C,0
494,43,131.14,1,0,Q,1
495,50,9.12,1,0,C,0
496,23,16.11,3,1,S,0
497,22,23.14,1,1,S,0
498,25,49.52,3,1,C,0
499,34,43.22,3,0,C,0
500,31,1.79,1,1,S,0
501,6,28.16,2,0,S,1
502,36,20.58,2,1,S,0
503,37,41.56,2,0,S,0
504,18,9.15,3,0,C,0
505,43,13.39,2,0,C,0
506,40,33.64,1,0,Q,0
507,4,1.35,1,0,S,0
508,29,80.28,1,1,S,1
509,41,16.15,3,1,C,0
510,28,33.56,1,0,S,0
511,32,119.56,2,0,C,0
512,37,2.71,2,0,C,0
513,22,24.89,2,0,C,0
514,80,44.87,3,0,S,1
515,26,15.83,1,1,Q,0
516,61,0.04,3,1,Q,0
517,9,3.29,3,0,C,0
518,80,37.31,1,0,S,0
519,54,22.0,3,1,C,0
520,41,4.3,2,0,Q,0
521,38,17.13,1,0,C,0
522,24,36.19,3,1,C,0
523,60,7.98,1,0,Q,1
524,48,11.31,1,1,S,0
525,45,18.67,1,0,S,0
526,27,27.74,1,1,S,1
527,57,8.56,2,1,Q,1
528,27,5.73,2,1,Q,0
529,61,8.62,2,0,S,0
530,59,7.54,1,1,C,0
531,45,83.21,1,1,S,1
532,65,17.58,1,0,C,0
533,48,85.56,1,0,Q,0
534,32,14.47,2,0,C,0
535,18,6.22,2,1,S,1
536,27,10.49,2,1,S,1
537,27,14.49,2,0,Q,0
538,14,48.61,1,1,Q,1
539,32,23.59,2,1,Q,0
540,28,11.52,1,0,C,1
541,41,143.14,3,1,Q,0
542,42,32.09,2,0,S,0
543,34,121.65,2,1,S,1
544,12,35.88,3,0,Q,0
545,20,88.44,3,0,Q,0
546,49,105.59,3,1,S,0
547,12,2.84,1,0,S,0
548,69,6.75,1,1,Q,1
549,35,48.65,2,0,S,0
550,33,3.53,3,1,S,0
551,27,85.38,2,0,C,0
552,41,89.1,3,1,Q,0
553,42,36.85,3,1,S,0
554,41,39.73,2,0,S,0
555,22,89.15,3,1,Q,1
556,8,102.82,1,0,C,1
557,15,41.04,1,1,C,1
558,40,37.03,3,1,C,1
559,31,7.06,3,0,C,0
560,36,14.63,3,1,S,0
561,35,20.38,2,1,Q,0
562,48,25.89,3,0,S,0
563,12,48.16,1,1,S,1
564,41,5.59,2,0,Q,1
565,33,85.33,1,1,Q,0
566,53,16.93,3,0,Q,0
567,20,5.13,1,1,S,0
568,19,77.94,3,1,Q,0
569,45,8.14,1,1,Q,0
570,30,0.11,1,1,Q,0
571,35,19.64,1,0,S,0
572,33,55.69,2,1,C,0
573,41,32.46,1,1,S,0
574,28,1.37,2,1,C,0
575,42,9.38,1,0,Q,0
576,47,23.39,3,0,Q,1
577,42,14.69,3,1,Q,0
578,53,8.06,2,0,C,0
579,27,37.58,3,0,S,0
580,1,5.49,1,0,S,1
581,47,2.45,3,1,S,0
582,15,8.95,3,0,S,0
583,15,15.19,2,1,Q,0
584,53,29.27,3,1,S,0
585,16,4.81,3,0,S,0
586,45,23.01,2,1,C,0
587,42,19.94,3,1,S,0
588,18,34.26,2,0,C,0
589,47,12.08,1,0,Q,0
590,33,12.37,2,1,C,0
591,49,58.61,3,0,S,0
592,51,52.43,2,1,Q,0
593,32,6.25,1,1,Q,0
594,21,1.74,1,0,C,0
595,33,15.49,3,0,S,0
596,49,8.61,2,0,C,0
597,10,9.61,2,1,Q,0
598,30,20.13,2,0,C,0
599,25,12.91,1,1,Q,0
600,38,1.53,3,0,S,0
601,37,33.97,2,1,Q,1
602,40,0.27,1,0,Q,0
603,10,7.6,3,1,Q,0
604,25,14.17,2,1,C,0
605,23,10.79,3,1,Q,1
606,13,55.6,2,1,C,0
607,33,19.72,2,1,Q,0
608,31,91.21,3,1,S,1
609,57,43.51,1,1,Q,0
610,37,20.64,2,1,C,0
611,38,40.04,3,0,C,0
612,38,46.1,3,1,Q,0
613,53,5.59,3,0,C,0
614,43,49.56,1,1,Q,1
615,43,13.17,3,1,C,0
616,29,10.45,1,1,S,0
617,45,26.28,3,0,C,0
618,5,14.42,2,1,S,0
619,35,4.9,1,1,C,0
620,69,4.64,3,0,S,0
621,8,29.91,1,1,Q,1
622,25,44.56,3,0,C,0
623,38,45.39,1,1,Q,0
624,20,0.14,3,0,Q,0
625,42,0.43,2,0,S,0
626,27,35.48,2,1,S,1
627,27,21.0,2,0,S,0
628,31,39.04,3,1,C,0
629,47,161.93,2,1,C,0
630,52,50.14,1,0,S,0
631,63,4.22,3,0,Q,0
632,52,47.12,2,1,Q,0
633,52,27.04,1,0,Q,0
634,42,17.63,1,1,C,0
635,37,6.9,3,0,C,0
636,50,29.25,3,0,C,0
637,46,3.33,3,0,C,0
638,43,6.68,2,0,C,0
639,41,10.5,1,1,S,0
640,24,0.38,1,0,Q,0
641,36,4.85,1,0,Q,0
642,53,18.31,2,1,C,1
643,23,50.33,1,1,C,0
644,26,2.99,1,0,S,0
645,58,5.61,2,1,Q,0
646,33,12.59,1,1,C,0
647,21,9.52,2,1,C,0
648,37,35.74,1,0,S,0
649,28,26.8,3,1,S,0
650,39,59.54,3,0,C,0
651,15,3.6,2,1,S,1
652,34,60.82,3,0,Q,0
653,33,21.96,3,0,C,0
654,35,33.84,2,0,Q,0
655,49,28.47,1,0,Q,0
656,53,2.33,2,1,S,0
657,11,9.78,3,0,Q,0
658,26,18.44,3,1,S,0
659,41,17.78,1,1,Q,0
660,47,24.43,1,0,Q,0
661,44,30.45,3,0,Q,0
662,49,1.67,1,1,C,0
663,31,29.01,2,1,Q,0
664,53,0.07,2,1,Q,0
665,48,36.33,1,0,C,1
666,30,3.39,3,0,S,0
667,12,57.36,1,1,S,0
668,47,78.37,3,0,C,0
669,45,26.7,3,0,C,1
670,33,17.01,3,1,Q,0
671,16,72.3,3,0,Q,0
672,52,27.95,2,1,C,0
673,48,74.28,1,1,C,0
674,51,4.29,2,1,Q,0
675,32,11.3,3,0,S,0
676,30,76.22,1,0,Q,0
677,13,30.39,3,0,C,0
678,4,37.15,3,1,C,0
679,17,22.19,1,1,S,1
680,46,46.19,2,1,S,0
681,39,35.19,2,0,Q,1
682,38,60.76,3,0,Q,0
683,29,14.77,3,1,Q,0
684,48,94.19,3,1,Q,1
685,28,40.84,1,1,S,0
686,29,42.21,3,0,Q,0
687,14,10.45,1,0,S,0
688,34,1.24,2,1,S,1
689,27,56.13,1,1,C,0
690,40,11.69,1,1,C,0
691,42,23.97,1,1,Q,1
692,37,21.1,2,1,S,0
693,40,64.47,3,1,C,0
694,40,22.68,3,0,S,0
695,60,17.7,3,0,S,0
696,21,87.01,2,1,Q,0
697,65,0.75,3,1,Q,0
698,31,68.57,1,1,Q,1
699,37,3.03,3,0,Q,1
700,23,60.06,2,0,S,0
701,12,36.39,3,1,Q,0
702,56,0.72,3,1,S,1
703,45,1.67,2,0,Q,0
704,48,18.0,2,1,C,1
705,27,33.56,3,0,Q,0
706,58,1.4,1,1,Q,1
707,45,46.38,2,0,C,0
708,21,32.43,2,0,Q,0
709,41,41.2,3,1,Q,1
710,20,47.54,3,1,S,0
711,5,24.3,1,0,S,0
712,20,2.67,1,1,S,0
713,47,31.15,3,0,S,0
714,27,3.65,3,0,Q,0
715,27,23.93,2,0,C,1
716,32,12.05,1,0,S,0
717,18,2.17,1,1,C,0
718,25,26.32,3,1,C,0
719,26,5.54,2,0,S,0
720,27,13.36,3,1,C,0
721,26,13.33,2,1,Q,1
722,31,9.88,1,0,C,0
723,30,29.55,3,0,S,0
724,16,25.95,3,0,S,0
725,15,23.52,3,1,Q,0
726,28,44.37,3,1,S,0
727,43,21.43,2,1,Q,1
728,38,120.28,3,0,Q,1
729,74,5.2,3,0,Q,0
730,39,43.0,1,0,C,0
731,33,1.31,1,1,C,0
732,31,118.26,2,0,Q,0
733,36,30.12,2,1,Q,0
734,45,13.64,3,0,Q,0
735,54,108.0,1,1,C,0
736,20,65.46,1,0,C,1
737,57,2.41,3,1,S,0
738,46,50.94,3,0,C,0
739,52,38.22,2,1,C,0
740,50,0.68,1,0,Q,0
741,59,4.34,3,0,Q,0
742,52,21.81,2,0,Q,0
743,64,51.66,1,0,C,0
744,18,7.43,2,0,Q,0
745,38,6.02,3,1,S,0
746,26,26.79,1,1,C,1
747,49,0.5,3,1,S,0
748,49,27.47,3,0,S,0
749,64,4.19,3,0,Q,0
750,21,1.33,3,1,S,0
751,33,19.74,2,1,Q,0
752,59,25.75,2,0,C,0
753,19,7.94,1,1,Q,0
754,27,37.05,1,0,Q,1
755,40,31.89,3,1,C,0
756,47,8.78,3,1,Q,0
757,53,9.67,3,1,S,0
758,39,13.87,3,1,C,0
759,18,25.86,3,1,Q,1
760,40,7.83,3,0,S,0
761,29,15.35,2,0,S,0
762,17,51.99,2,1,S,1
763,15,7.52,1,0,Q,0
764,56,22.08,3,0,S,0
765,33,17.34,1,1,S,1
766,20,7.91,1,0,C,0
767,24,0.01,1,0,C,0
768,26,26.46,3,0,Q,0
769,47,75.46,3,1,Q,0
770,47,99.14,2,0,Q,0
771,28,18.2,2,0,C,0
772,16,20.99,2,0,Q,0
773,34,62.65,3,1,Q,0
774,23,8.36,2,1,Q,0
775,47,26.52,1,1,S,0
776,15,7.47,3,0,C,0
777,53,13.07,3,0,Q,0
778,35,33.6,2,0,Q,0
779,42,19.42,2,0,Q,0
780,56,72.21,2,0,S,0
781,28,61.85,1,0,S,0
782,42,45.28,1,0,Q,0
783,23,20.36,1,0,C,0
784,22,63.86,3,1,C,1
785,64,43.35,3,1,C,0
786,31,48.17,2,0,Q,0
787,33,59.07,1,1,S,0
788,13,0.36,1,1,Q,1
789,41,13.46,2,0,Q,0
790,30,12.61,1,1,C,1
791,73,36.19,2,1,C,0
792,38,25.73,1,0,Q,0
793,42,8.07,2,1,S,1
794,43,49.15,1,1,C,1
795,33,67.12,3,1,C,0
796,17,15.24,3,0,S,0
797,28,8.8,3,0,C,0
798,34,24.46,2,1,S,0
799,49,12.97,3,0,Q,0
